Plant Type,Plant Id ,Pot ID ,Treatment (N kg/ha),Date of sample,Sample ID,Conc. ,Factor,A260,mm,260/280,260/230,,Qubit ,Qubit 
Phalaris,B,5,UF100, 17/07/2023,36,91.66,50,1.8332,10,1.84,0.22,,200,40
Phalaris,B,11,CF 100, 17/07/2023,37,51.246,50,1.0249,10,1.84,0.28,,208,41.6
Phalaris,B,12,CF 100, 17/07/2023,38,79.292,50,1.5858,10,1.88,0.29,,227,45.4
Phalaris,B,14,CF 100, 17/07/2023,39,60.8,50,1.216,10,1.8,0.47,,158,31.6
Phalaris,B,15,CF 200, 17/07/2023,40,60.659,50,1.2132,10,1.82,0.47,,179,35.8
Phalaris,B,21,Control, 17/07/2023,41,76.9662,50,1.5392,10,1.84,0.3,,212,42.4
Phalaris,B,22,Control, 17/07/2023,42,53.136,50,1.0627,10,1.85,0.15,,188,37.6
Phalaris,B,23,Control, 17/07/2023,43,58.479,50,1.1696,10,1.85,0.46,,171,34.2
Phalaris,B,25,Control, 17/07/2023,44,55.431,50,1.1086,10,1.85,0.49,,171,34.2
Phalaris,B,1,UF100,12/09/2023,45,90.467,50,1.8093,10,1.83,0.65,,170,34
Phalaris,B,2,UF100,12/09/2023,46,77.035,50,1.5407,10,1.79,0.65,,165,33
Phalaris,B,4,UF100,12/09/2023,47,65.15,50,1.303,10,1.85,1.05,,190,38
Phalaris,B,5,UF100,12/09/2023,48,70.07,50,1.4014,10,1.84,0.42,,194,38.8
Phalaris,B,6,UF200,12/09/2023,49,50.049,50,1.001,10,1.86,0.77,,167,33.4
Phalaris,B,7,UF200,12/09/2023,50,57.321,50,1.1464,10,1.79,0.91,,159,31.8
Phalaris,B,8,UF200,12/09/2023,51,45.119,50,0.9024,10,1.88,0.29,,150,30
Phalaris,B,9,UF200,12/09/2023,52,58.113,50,1.1623,10,1.8,0.66,,159,31.8
Phalaris,B,11,CF 100,12/09/2023,53,79.532,50,1.5906,10,1.79,0.68,,140,28
Phalaris,B,12,CF 100,12/09/2023,54,55.287,50,1.1057,10,1.83,0.56,,166,33.2
Phalaris,B,14,CF 100,12/09/2023,55,55.704,50,1.1141,10,1.85,0.2,,162,32.4
Phalaris,B,15,CF 100,12/09/2023,56,45.547,50,0.9109,10,1.88,0.15,,155,31
Phalaris,B,17,CF 200,12/09/2023,57,50.862,50,1.0172,10,1.95,0.05,,148,29.6
Phalaris,B,18,CF 200,12/09/2023,58,40.596,50,0.8119,10,1.84,0.18,,135,27
Phalaris,B,19,CF 200,12/09/2023,59,49.809,50,0.9962,10,1.86,0.39,,148,29.6
Phalaris,B,20,CF 200,12/09/2023,60,58.371,50,1.1674,10,1.9,0.08,,138,27.6
Phalaris,B,21,Control,12/09/2023,61,53.456,50,1.0691,10,1.89,0.27,,136,27.2
Phalaris,B,22,Control,12/09/2023,62,47.129,50,0.9426,10,1.92,0.11,,136,27.2
Phalaris,B,23,Control,12/09/2023,63,58.277,50,1.1655,10,1.83,0.3,,120,24
Phalaris,B,25,Control,12/09/2023,64,45.19,50,0.9038,10,1.85,0.55,,103,20.6
