[Header]	
System	TOC_TN	
S/W Version	1.00	
User	Niraj 	
Date/Time	14/12/2023 11:15:17 AM	
Comments		

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TC/TN		tc50		46.51				0.000	mg/L	42	14/12/2023 2:58:38 AM	
Unknown	TC/TN		tn25		0.5399				27.32	mg/L	43	14/12/2023 3:18:52 AM	
Unknown	TC/TN		B4F		134.7				8.119	mg/L	44	14/12/2023 3:31:16 AM	
Unknown	TC/TN		B1NF		12.36				8.404	mg/L	45	14/12/2023 3:43:35 AM	
Unknown	TC/TN		B9NF		21.70				371.1	mg/L	46	14/12/2023 4:07:12 AM	
Unknown	TC/TN		B8NF		11.26				37.55	mg/L	47	14/12/2023 4:30:37 AM	
Unknown	TC/TN		CNF		2.001				1.036	mg/L	48	14/12/2023 4:49:54 AM	
Unknown	TC/TN		B2NF		11.16				9.265	mg/L	49	14/12/2023 5:05:52 AM	
Unknown	TC/TN		B3F		74.43				6.716	mg/L	50	14/12/2023 5:21:20 AM	
Unknown	TC/TN		CNF		2.242				0.3923	mg/L	51	14/12/2023 5:33:15 AM	
Unknown	TC/TN		B6NF		22.20				224.7	mg/L	52	14/12/2023 5:51:35 AM	
Unknown	TC/TN		B11F		150.4				10.69	mg/L	53	14/12/2023 6:07:37 AM	
Unknown	TC/TN		blank		0.5225				0.1563	mg/L	54	14/12/2023 6:23:01 AM	
Unknown	TC/TN		blank		0.1744				0.000	mg/L	54	14/12/2023 6:30:46 AM	
Unknown	TC/TN		blank		0.1609				0.000	mg/L	54	14/12/2023 6:38:25 AM	
