Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
B10,,bray-p 1,41.2102,mgP/L,0.247355,Thu Dec 14 14:56:43 2023,1,50.00
A17,,bray-p 1,34.0643,mgP/L,0.206218,Thu Dec 14 14:58:03 2023,1,50.00
A19,,bray-p 1,35.2242,mgP/L,0.212896,Thu Dec 14 14:59:24 2023,1,50.00
B19,,bray-p 1,32.9490,mgP/L,0.199798,Thu Dec 14 15:00:44 2023,1,50.00
B25,,bray-p 1,25.9055,mgP/L,0.159251,Thu Dec 14 15:02:05 2023,1,50.00
B2,,bray-p 1,14.4815,mgP/L,0.093486,Thu Dec 14 15:03:26 2023,1,50.00
B18,,bray-p 1,28.5342,mgP/L,0.174383,Thu Dec 14 15:04:47 2023,1,50.00
B9,,bray-p 1,29.8641,mgP/L,0.182039,Thu Dec 14 15:06:08 2023,1,50.00
A9,,bray-p 1,34.9825,mgP/L,0.211504,Thu Dec 14 15:07:29 2023,1,50.00
A7,,bray-p 1,30.0150,mgP/L,0.182908,Thu Dec 14 15:08:50 2023,1,50.00
C C V,,bray-p 1, 0.4910,mgP/L,0.151460,Thu Dec 14 11:26:14 2023,1,1
C C B ,,bray-p 1,-0.0028,mgP/L,0.009309,Thu Dec 14 11:27:34 2023,1,1
B24,,bray-p 1,29.8709,mgP/L,0.182078,Thu Dec 14 15:10:11 2023,1,50.00
B5,,bray-p 1,13.3730,mgP/L,0.087105,Thu Dec 14 15:11:33 2023,1,50.00
B16,,bray-p 1,37.5944,mgP/L,0.226540,Thu Dec 14 15:12:54 2023,1,50.00
B6,,bray-p 1,34.3159,mgP/L,0.207667,Thu Dec 14 15:14:15 2023,1,50.00
B13,,bray-p 1,31.0355,mgP/L,0.188782,Thu Dec 14 15:15:36 2023,1,50.00
B21,,bray-p 1,28.0240,mgP/L,0.171446,Thu Dec 14 15:16:58 2023,1,50.00
B7,,bray-p 1,38.0624,mgP/L,0.229234,Thu Dec 14 15:18:19 2023,1,50.00
B20,,bray-p 1,33.8148,mgP/L,0.204782,Thu Dec 14 15:19:41 2023,1,50.00
A6,,bray-p 1,33.8756,mgP/L,0.205132,Thu Dec 14 15:21:02 2023,1,50.00
A3,,bray-p 1,31.5630,mgP/L,0.191819,Thu Dec 14 15:21:59 2023,1,50.00
C C V,,bray-p 1, 0.4862,mgP/L,0.150054,Thu Dec 14 11:41:47 2023,1,1
C C B ,,bray-p 1,-0.0033,mgP/L,0.009175,Thu Dec 14 11:43:08 2023,1,1
A1,,bray-p 1,34.5628,mgP/L,0.209088,Thu Dec 14 15:23:00 2023,1,50.00
A15,,bray-p 1,30.4599,mgP/L,0.185469,Thu Dec 14 15:23:54 2023,1,50.00
A10,,bray-p 1,45.3437,mgP/L,0.271150,Thu Dec 14 15:24:47 2023,1,50.00
A4,,bray-p 1,23.6521,mgP/L,0.146278,Thu Dec 14 15:25:40 2023,1,50.00
A13,,bray-p 1,25.4996,mgP/L,0.156914,Thu Dec 14 15:26:33 2023,1,50.00
B15,,bray-p 1,31.9581,mgP/L,0.194094,Thu Dec 14 15:27:26 2023,1,50.00
A2,,bray-p 1,34.9417,mgP/L,0.211269,Thu Dec 14 15:28:19 2023,1,50.00
A16,,bray-p 1,31.5624,mgP/L,0.191815,Thu Dec 14 15:29:13 2023,1,50.00
B14,,bray-p 1,25.2475,mgP/L,0.155463,Thu Dec 14 15:30:06 2023,1,50.00
A8,,bray-p 1,35.5492,mgP/L,0.214766,Thu Dec 14 15:30:59 2023,1,50.00
C C V,,bray-p 1, 0.4942,mgP/L,0.152379,Thu Dec 14 11:53:31 2023,1,1
C C B ,,bray-p 1,-0.0022,mgP/L,0.009493,Thu Dec 14 11:54:25 2023,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.4873,mgP/L,0.150376,Thu Dec 14 13:50:18 2023,1,1
CCB,,bray-p 1,-0.0030,mgP/L,0.009247,Thu Dec 14 13:51:39 2023,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
