Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C B ,,Nitrate 2, 0.0258,mg N/L,0.006454,Mon Dec 18 22:46:18 2023,1,1
A5,,Ammonia 2.0, 6.6290,mg N/L,0.364951,Mon Dec 18 17:28:40 2023,1,10.00
A5,,Nitrate 2,10.1599,mg N/L,0.266004,Mon Dec 18 22:48:23 2023,1,10.00
A15,,Ammonia 2.0, 7.4551,mg N/L,0.404203,Mon Dec 18 17:30:41 2023,1,10.00
A15,,Nitrate 2, 2.7644,mg N/L,0.072161,Mon Dec 18 22:50:27 2023,1,10.00
A14,,Ammonia 2.0, 2.5318,mg N/L,0.170294,Mon Dec 18 17:32:41 2023,1,10.00
A14,,Nitrate 2, 2.8439,mg N/L,0.074244,Mon Dec 18 22:52:31 2023,1,10.00
B15,,Ammonia 2.0, 1.9615,mg N/L,0.143198,Mon Dec 18 17:34:42 2023,1,10.00
B15,,Nitrate 2, 2.0954,mg N/L,0.054624,Mon Dec 18 22:54:36 2023,1,10.00
A4,,Ammonia 2.0,-0.1814,mg N/L,0.041393,Mon Dec 18 17:36:42 2023,1,10.00
A4,,Nitrate 2, 0.2645,mg N/L,0.006634,Mon Dec 18 22:56:41 2023,1,10.00
B1,,Ammonia 2.0,12.0782,mg N/L,0.623845,Mon Dec 18 17:38:42 2023,1,10.00
B1,,Nitrate 2,11.2112,mg N/L,0.293561,Mon Dec 18 22:58:46 2023,1,10.00
B22,,Ammonia 2.0,15.9145,mg N/L,0.806108,Mon Dec 18 17:40:42 2023,1,10.00
B22,,Nitrate 2,14.1254,mg N/L,0.369944,Mon Dec 18 23:00:51 2023,1,10.00
A17,,Ammonia 2.0,-0.0450,mg N/L,0.047869,Mon Dec 18 17:42:43 2023,1,10.00
A17,,Nitrate 2, 0.9663,mg N/L,0.025030,Mon Dec 18 23:02:56 2023,1,10.00
A24,,Ammonia 2.0,17.6807,mg N/L,0.890021,Mon Dec 18 17:44:43 2023,1,10.00
A24,,Nitrate 2, 2.8233,mg N/L,0.073703,Mon Dec 18 23:05:01 2023,1,10.00
B24,,Ammonia 2.0, 1.6202,mg N/L,0.126986,Mon Dec 18 17:46:44 2023,1,10.00
B24,,Nitrate 2, 3.3218,mg N/L,0.086771,Mon Dec 18 23:07:05 2023,1,10.00
C C V,,Ammonia 2.0, 4.6629,mg N/L,2.265345,Mon Dec 18 17:48:44 2023,1,1
C C V,,Nitrate 2, 0.1065,mg N/L,0.027626,Mon Dec 18 23:09:10 2023,1,1
C C B ,,Ammonia 2.0,-0.0339,mg N/L,0.033921,Mon Dec 18 17:50:45 2023,1,1
C C B ,,Nitrate 2, 0.0267,mg N/L,0.006699,Mon Dec 18 23:11:15 2023,1,1
A25,,Ammonia 2.0, 0.0733,mg N/L,0.053493,Mon Dec 18 17:52:46 2023,1,10.00
A25,,Nitrate 2, 0.9494,mg N/L,0.024588,Mon Dec 18 23:13:20 2023,1,10.00
B8,,Ammonia 2.0, 0.2346,mg N/L,0.061154,Mon Dec 18 17:54:47 2023,1,10.00
B8,,Nitrate 2, 1.5204,mg N/L,0.039554,Mon Dec 18 23:15:24 2023,1,10.00
A16,,Ammonia 2.0,29.0603,mg N/L,0.318470,Tue Dec 19 08:58:12 2023,1,51.43
A16,,Nitrate 2,19.8358,mg N/L,0.103686,Tue Dec 19 09:18:19 2023,1,50.00
B25,,Ammonia 2.0,10.8970,mg N/L,0.567726,Mon Dec 18 17:58:48 2023,1,10.00
B25,,Nitrate 2, 4.6610,mg N/L,0.121873,Mon Dec 18 23:19:32 2023,1,10.00
B21,,Ammonia 2.0, 0.0547,mg N/L,0.052605,Mon Dec 18 18:00:48 2023,1,10.00
B21,,Nitrate 2, 0.8125,mg N/L,0.020998,Mon Dec 18 23:21:37 2023,1,10.00
B3,,Ammonia 2.0, 0.0659,mg N/L,0.053140,Mon Dec 18 18:02:49 2023,1,10.00
B3,,Nitrate 2, 1.4761,mg N/L,0.038391,Mon Dec 18 23:23:41 2023,1,10.00
B9,,Ammonia 2.0,16.1635,mg N/L,0.817936,Mon Dec 18 18:04:50 2023,1,10.00
B9,,Nitrate 2,16.6386,mg N/L,0.086925,Tue Dec 19 09:19:13 2023,1,50.00
A19,,Ammonia 2.0,19.2696,mg N/L,0.965511,Mon Dec 18 18:06:51 2023,1,10.00
A19,,Nitrate 2,19.2962,mg N/L,0.505477,Mon Dec 18 23:27:50 2023,1,10.00
A23,,Ammonia 2.0,25.1304,mg N/L,1.243955,Mon Dec 18 18:08:52 2023,50.00,51.43
A23,,Nitrate 2, 4.2013,mg N/L,0.109821,Mon Dec 18 23:29:55 2023,1,10.00
A18,,Ammonia 2.0, 1.1172,mg N/L,0.103086,Mon Dec 18 18:10:53 2023,1,10.00
A18,,Nitrate 2, 2.5069,mg N/L,0.065411,Mon Dec 18 23:31:59 2023,1,10.00
C C V,,Ammonia 2.0, 4.6629,mg N/L,2.265345,Mon Dec 18 18:12:54 2023,1,1
C C V,,Nitrate 2, 0.1092,mg N/L,0.028315,Mon Dec 18 23:34:03 2023,1,1
C C B ,,Ammonia 2.0,-0.0153,mg N/L,0.042721,Mon Dec 18 18:14:56 2023,1,1
C C B ,,Nitrate 2, 0.0342,mg N/L,0.008657,Mon Dec 18 23:36:08 2023,1,1
B2,,Ammonia 2.0, 6.1764,mg N/L,0.343448,Mon Dec 18 18:16:58 2023,1,10.00
B2,,Nitrate 2, 4.7065,mg N/L,0.123065,Mon Dec 18 23:38:13 2023,1,10.00
B4,,Ammonia 2.0, 6.2086,mg N/L,0.344981,Mon Dec 18 18:18:59 2023,1,10.00
B4,,Nitrate 2, 5.6092,mg N/L,0.146726,Mon Dec 18 23:40:17 2023,1,10.00
B6,,Ammonia 2.0,15.7324,mg N/L,0.797456,Mon Dec 18 18:21:01 2023,1,10.00
B6,,Nitrate 2,13.3587,mg N/L,0.349850,Mon Dec 18 23:42:21 2023,1,10.00
A20,,Ammonia 2.0,25.2608,mg N/L,0.283370,Tue Dec 19 09:00:52 2023,1,51.43
A20,,Nitrate 2,19.6211,mg N/L,0.513993,Mon Dec 18 23:43:16 2023,1,10.00
A7,,Ammonia 2.0, 7.7603,mg N/L,0.418703,Mon Dec 18 18:25:01 2023,1,10.00
A7,,Nitrate 2, 5.1004,mg N/L,0.133390,Mon Dec 18 23:44:10 2023,1,10.00
A6,,Ammonia 2.0,39.4503,mg N/L,0.414453,Tue Dec 19 09:04:44 2023,1,51.43
A6,,Nitrate 2,42.9930,mg N/L,0.225081,Tue Dec 19 09:20:08 2023,1,50.00
A8,,Ammonia 2.0,36.3566,mg N/L,0.385874,Tue Dec 19 09:08:35 2023,1,51.43
A8,,Nitrate 2,27.8398,mg N/L,0.145645,Tue Dec 19 09:21:02 2023,1,50.00
A9,,Ammonia 2.0,43.6490,mg N/L,0.453241,Tue Dec 19 09:12:26 2023,1,51.43
A9,,Nitrate 2,38.8174,mg N/L,0.203192,Tue Dec 19 09:21:57 2023,1,50.00
B5,,Ammonia 2.0,56.1851,mg N/L,0.569050,Tue Dec 19 09:15:08 2023,1,51.43
B5,,Nitrate 2,58.9945,mg N/L,0.308965,Tue Dec 19 09:22:52 2023,1,50.00
A10,,Ammonia 2.0, 9.8930,mg N/L,0.520027,Mon Dec 18 18:33:14 2023,50.00,51.43
A10,,Nitrate 2, 9.3536,mg N/L,0.244871,Mon Dec 18 23:48:43 2023,50.00,50.00
C C V,,Ammonia 2.0, 4.6338,mg N/L,2.251512,Mon Dec 18 18:34:53 2023,1,1
C C V,,Nitrate 2, 0.1083,mg N/L,0.028099,Mon Dec 18 23:49:37 2023,1,1
C C B ,,Ammonia 2.0,-0.0086,mg N/L,0.045931,Mon Dec 18 18:36:32 2023,1,1
C C B ,,Nitrate 2, 0.0293,mg N/L,0.007393,Mon Dec 18 23:50:33 2023,1,1
