Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
B22,,bray-p 1,13.5171,mgP/L,0.198031,Mon Dec 11 15:16:33 2023,1,20.00
B20,,bray-p 1,14.0839,mgP/L,0.206047,Mon Dec 11 15:17:54 2023,1,20.00
B25,,bray-p 1, 5.6011,mgP/L,0.165288,Mon Dec 11 13:49:41 2023,1,10.00
CONTROL 2 F,,bray-p 1, 0.0011,mgP/L,0.007143,Mon Dec 11 09:48:51 2023,1,1
C C V,,bray-p 1, 0.5696,mgP/L,0.167982,Mon Dec 11 09:50:08 2023,1,1
C C B ,,bray-p 1,-0.0006,mgP/L,0.006665,Mon Dec 11 09:51:29 2023,1,1
A25,,bray-p 1,15.8472,mgP/L,0.230987,Mon Dec 11 15:19:15 2023,1,20.00
A22,,bray-p 1,13.5630,mgP/L,0.198680,Mon Dec 11 15:20:36 2023,1,20.00
A20,,bray-p 1,10.5751,mgP/L,0.156419,Mon Dec 11 15:21:56 2023,1,20.00
A19,,bray-p 1,12.7713,mgP/L,0.187483,Mon Dec 11 15:23:16 2023,1,20.00
B17,,bray-p 1,16.1245,mgP/L,0.234910,Mon Dec 11 15:24:37 2023,1,20.00
B1O,,bray-p 1,13.9254,mgP/L,0.203806,Mon Dec 11 15:25:58 2023,1,20.00
B9,,bray-p 1,13.7677,mgP/L,0.201574,Mon Dec 11 15:27:18 2023,1,20.00
B5,,bray-p 1,17.6568,mgP/L,0.256583,Mon Dec 11 15:28:39 2023,1,20.00
A6,,bray-p 1, 7.3820,mgP/L,0.215667,Mon Dec 11 14:01:47 2023,1,10.00
A21,,bray-p 1,10.8238,mgP/L,0.159937,Mon Dec 11 15:30:00 2023,1,20.00
C C V,,bray-p 1, 0.5587,mgP/L,0.164887,Mon Dec 11 10:05:40 2023,1,1
C C B ,,bray-p 1,-0.0017,mgP/L,0.006367,Mon Dec 11 10:07:01 2023,1,1
B19,,bray-p 1,12.9767,mgP/L,0.190387,Mon Dec 11 15:31:21 2023,1,20.00
B18,,bray-p 1,13.6881,mgP/L,0.200449,Mon Dec 11 15:32:41 2023,1,20.00
B15,,bray-p 1, 9.6889,mgP/L,0.280926,Mon Dec 11 14:07:09 2023,1,10.00
B13,,bray-p 1, 9.8055,mgP/L,0.284223,Mon Dec 11 14:08:30 2023,1,10.00
B8,,bray-p 1,12.1450,mgP/L,0.178623,Mon Dec 11 15:34:02 2023,1,20.00
B4,,bray-p 1,16.0562,mgP/L,0.233944,Mon Dec 11 15:35:23 2023,1,20.00
A5,,bray-p 1,12.1652,mgP/L,0.178910,Mon Dec 11 15:36:44 2023,1,20.00
A18,,bray-p 1,13.1640,mgP/L,0.193036,Mon Dec 11 15:38:05 2023,1,20.00
A17,,bray-p 1,12.0301,mgP/L,0.176998,Mon Dec 11 15:39:26 2023,1,20.00
A16,,bray-p 1,11.9812,mgP/L,0.176307,Mon Dec 11 15:40:47 2023,1,20.00
C C V,,bray-p 1, 0.5585,mgP/L,0.164834,Mon Dec 11 10:21:07 2023,1,1
C C B ,,bray-p 1,-0.0012,mgP/L,0.006491,Mon Dec 11 10:22:28 2023,1,1
A13,,bray-p 1,12.3646,mgP/L,0.181729,Mon Dec 11 15:42:08 2023,1,20.00
B7,,bray-p 1,20.4884,mgP/L,0.296633,Mon Dec 11 15:43:30 2023,1,20.00
B2,,bray-p 1,15.2950,mgP/L,0.223177,Mon Dec 11 15:44:51 2023,1,20.00
A4,,bray-p 1,13.5564,mgP/L,0.198587,Mon Dec 11 15:46:13 2023,1,20.00
B16,,bray-p 1,13.7566,mgP/L,0.201418,Mon Dec 11 15:47:35 2023,1,20.00
A15,,bray-p 1,11.2110,mgP/L,0.165413,Mon Dec 11 15:48:56 2023,1,20.00
A14,,bray-p 1,10.6577,mgP/L,0.157587,Mon Dec 11 15:50:18 2023,1,20.00
B14,,bray-p 1, 6.5570,mgP/L,0.192330,Mon Dec 11 14:27:27 2023,1,10.00
A11,,bray-p 1,13.4617,mgP/L,0.197246,Mon Dec 11 15:51:39 2023,1,20.00
B6,,bray-p 1,11.4959,mgP/L,0.169443,Mon Dec 11 15:52:36 2023,1,20.00
C C V,,bray-p 1, 0.5706,mgP/L,0.168268,Mon Dec 11 10:36:39 2023,1,1
C C B ,,bray-p 1,-0.0016,mgP/L,0.006382,Mon Dec 11 10:38:00 2023,1,1
A3,,bray-p 1,10.5112,mgP/L,0.155515,Mon Dec 11 15:53:38 2023,1,20.00
A8,,bray-p 1,12.2563,mgP/L,0.180198,Mon Dec 11 15:54:31 2023,1,20.00
B12,,bray-p 1,15.8252,mgP/L,0.230677,Mon Dec 11 15:55:24 2023,1,20.00
A12,,bray-p 1,11.2514,mgP/L,0.165985,Mon Dec 11 15:56:17 2023,1,20.00
B11,,bray-p 1,19.0805,mgP/L,0.276719,Mon Dec 11 15:57:11 2023,1,20.00
A10,,bray-p 1,14.2983,mgP/L,0.209080,Mon Dec 11 15:58:04 2023,1,20.00
A9,,bray-p 1,14.5273,mgP/L,0.212319,Mon Dec 11 15:58:57 2023,1,20.00
B3,,bray-p 1,13.4861,mgP/L,0.197592,Mon Dec 11 15:59:50 2023,1,20.00
A7,,bray-p 1,11.6092,mgP/L,0.171046,Mon Dec 11 16:00:43 2023,1,20.00
A2,,bray-p 1,13.8043,mgP/L,0.202093,Mon Dec 11 16:01:36 2023,1,20.00
C C V,,bray-p 1, 0.5347,mgP/L,0.158097,Mon Dec 11 10:48:24 2023,1,1
C C B ,,bray-p 1,-0.0008,mgP/L,0.006605,Mon Dec 11 10:49:17 2023,1,1
CCV,,bray-p 1, 0.5608,mgP/L,0.165472,Mon Dec 11 11:07:02 2023,1,1
CCB,,bray-p 1,-0.0021,mgP/L,0.006255,Mon Dec 11 11:08:23 2023,1,1
CCV,,bray-p 1, 0.5709,mgP/L,0.168354,Mon Dec 11 11:23:13 2023,1,1
CCB,,bray-p 1,-0.0012,mgP/L,0.006512,Mon Dec 11 11:24:34 2023,1,1
CCV,,bray-p 1, 0.5768,mgP/L,0.170011,Mon Dec 11 11:39:28 2023,1,1
CCB,,bray-p 1,-0.0011,mgP/L,0.006540,Mon Dec 11 11:40:49 2023,1,1
CCV,,bray-p 1, 0.5807,mgP/L,0.171105,Mon Dec 11 11:55:37 2023,1,1
CCB,,bray-p 1,-0.0009,mgP/L,0.006583,Mon Dec 11 11:56:58 2023,1,1
CCV,,bray-p 1, 0.5682,mgP/L,0.167589,Mon Dec 11 12:11:41 2023,1,1
CCB,,bray-p 1,-0.0007,mgP/L,0.006655,Mon Dec 11 12:12:39 2023,1,1
CCV,,bray-p 1, 0.5448,mgP/L,0.160969,Mon Dec 11 12:20:47 2023,1,1
CCB,,bray-p 1,-0.0019,mgP/L,0.006311,Mon Dec 11 12:21:41 2023,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCV,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
CCB,,bray-p 1, 0.0000,mgP/L,0.000000,Wed Dec 31 16:00:00 1969,1,1
